;X19_S2;X20_S3;X21_S4;X25_S8;X26_S9;X27_S10;X31_S14;X32_S15;X33_S16;X37_S20;X38_S21;X39_S22;X43_S26;X44_S27;X45_S28;X49_S32;X50_S33;X51_S34;X56_S38;X57_S39;X58_S40;X61_S43;X62_S44;X63_S45;X67_S49;X68_S50;X69_S51;X73_S55;X74_S56;X75_S57;X79_S61;X80_S62;X81_S63;X85_S67;X86_S68;X87_S69;X91_S73;X92_S74;X93_S75;X97_S79;X99_S80;X103_S83;X104_S84;X105_S85;X109_S89;X110_S90;X111_S91
Algoriphagus_Cyclobacteriaceae_Cytophagales_Cytophagia_Bacteroidetes;0;0;0,009770754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007321502;0;0;0;0;0;0;0,005058015;0,008057368;0;0;0;0;0;0,010609179;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aliihoeflea_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007109709;0;0
Alkanindiges_Moraxellaceae_Pseudomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007859781;0;0;0;0;0;0
Altererythrobacter_Erythrobacteraceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alteromonas_Alteromonadaceae_Alteromonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aminobacter_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0,005345593;0;0,00908444;0,021829824;0,034872063;0;0,027548656;0,01216471;0,019170482;0,021964505;0,022769318;0,10586545;0,121253318;0,027696495;0,052362472;0,049539212;0;0,025179276;0;0,031971865;0,008462958;0;0,008620095;0,014852851;0,038669185;0,010142559;0,032432114;0,058022169;0,054009533;0,153074241;0,022403811;0,041918835;0,057833062;0,024979184;0,035355899;0,010987733;0,041871125;0,007749402
Amorphus_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ancylobacter_Xanthobacteraceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antarctobacter_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aquabacterium_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aquamicrobium_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,032767877;0,008267272;0;0;0;0;0;0;0;0;0;0;0;0;0,039443286;0;0,020549518;0;0;0,042449326;0;1,836436725;0;0,012478552;0;0,016895366;0,025831339
Aquimonas_Xanthomonadaceae_Xanthomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arcobacter_Campylobacteraceae_Campylobacterales_Epsilonproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arenibacter_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arthrobacter_Micrococcaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aureimonas_Aurantimonadaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
