;X22_S5;X23_S6;X24_S7;X28_S11;X29_S12;X30_S13;X34_S17;X35_S18;X36_S19;X40_S23;X41_S24;X42_S25;X46_S29;X47_S30;X48_S31;X52_S35;X53_S36;X54_S37;X59_S41;X60_S42;X64_S46;X65_S47;X66_S48;X70_S52;X71_S53;X72_S54;X76_S58;X77_S59;X78_S60;X82_S64;X83_S65;X84_S66;X88_S70;X89_S71;X90_S72;X94_S76;X95_S77;X96_S78;X100_S81;X101_S82;X106_S86;X107_S87;X108_S88;X112_S92;X113_S93;X114_S94
Achromobacter_Alcaligenaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,025647602;0,013442818;0,035059761;0,036803216;0,057154733;0,052337753;0,074383105;0,084325343;0,073828495;0,042342978;0,049188918;0,044059183;0,037140971;0,055197212;0,059143842;0,028341547;0,043867488;0,011597468;0,040764331;0,042362111;0,022815896;0,028255904;0,016996975;0,030543319;0,039500042;0,021464448;0,031480089;0,079344613;0,044413426;0,0471125;0,031208822;0,032313355;0,027981942;0,034259839;0,032918559;0,027420549;0,027666569;0,033154405;0,042743881;0,020059707;0,030423906;0,041371702;0,026103921;0,030321686;0,049281314;0,038893652
Acidovorax_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0,011202348;0;0,014155083;0;0;0;0,005475672;0;0,025092135;0,016039864;0,012295586;0;0,007885316;0,010197214;0;0,008123609;0;0,011210191;0,011296563;0,006222517;0;0;0,012922173;0;0;0;0;0;0;0;0,008429571;0,01305824;0,019364257;0,007900454;0,008226165;0,008137226;0,022102937;0,006894174;0,01297981;0,013521736;0,013790567;0,027477812;0,021133296;0,016427105;0,021214719
Acinetobacter_Moraxellaceae_Pseudomonadales_Gammaproteobacteria_Proteobacteria;0,021800462;0,036967748;0,009561753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007048458;0;0,012878669;0;0;0;0;0;0;0;0;0;0;0,016274452;0,012630249;0,006894174;0,005899914;0;0;0;0;0;0,004419733
Actibacterium_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aequorivita_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0,005601174;0;0,014155083;0;0;0;0;0,043182705;0;0,00748527;0,006147793;0,010316936;0;0;0;0,012997774;0;0,005095541;0;0;0;0;0;0;0;0;0;0;0;0,024273528;0,063221782;0;0;0,013167424;0;0;0;0,038607377;0;0;0;0;0;0;0
Aeromicrobium_Nocardioidaceae_Propionibacteriales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aeromonas_Aeromonadaceae_Aeromonadales_Gammaproteobacteria_Proteobacteria;0,066683765;0,066093853;0,039840637;0,036803216;0,018185597;0,019626657;0,020482304;0,016427015;0,032038781;0,028228652;0,012831892;0,024591172;0,012380324;0,007885316;0,016315543;0,011021713;0,016247218;0,011597468;0,013248408;0,011296563;0,012445034;0,009418635;0,01359758;0,016446402;0,01692859;0,008585779;0;0;0;0;0,015604411;0,016859142;0;0,008937349;0,006583712;0;0;0,064730028;0,013788349;0,010619845;0;0,015322853;0,013738906;0,006431873;0;0,01591104
Aestuariivita_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Afifella_Rhodobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Afipia_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,019237832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
