;D312_S1;D313_S2;D314_S3;D318_S7;D319_S8;D320_S9;D324_S13;D325_S14;D326_S15;D330_S19;D331_S20;D332_S21;D336_S25;D337_S26;D338_S27;D342_S31;D343_S32;D344_S33;D348_S37;D349_S38;D350_S39;D354_S43;D355_S44
Alteromonas_Alteromonadaceae_Alteromonadales_Gammaproteobacteria_Proteobacteria;0,004805613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006847737;0;0;0;0;0;0;0
Aminobacter_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,050458936;0,371162156;0,511122728;0,053317721;0,29389881;1,387849122;0,279102811;0,075029308;0,098531685;0,083165345;0,40648957;0,058400656;0,103273315;0,078048504;0,189550277;2,737849935;0,121625947;0,142767527;0,178305011;0,096581597;0,165444312;0,183265563;0,280453472
Amorphus_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0;0,011826245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005407861;0;0;0;0;0
Ancylobacter_Xanthobacteraceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004357651;0;0,006489433;0;0,00585343;0;0,009545081;0,011865339
Antarctobacter_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0,008342951;0;0;0;0;0;0;0;0,002926715;0;0;0
Aquabacterium_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0,007815553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aquamicrobium_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0,013470432;0;0;0,006225216;0;0;0;0,00585343;0;0;0
Aquimonas_Xanthomonadaceae_Xanthomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arcobacter_Campylobacteraceae_Campylobacterales_Epsilonproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arenibacter_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,466745158;0,226518081;0,342684556;0,240452469;0,193452381;0,280737115;0,360296356;0,257913247;0,249227202;0,255823834;0,194924823;0,298955741;0,123478964;0,116363224;0,204836589;0,120769188;0,177104449;0,175214692;0,123721844;0,125263404;0,146682586;0,136494664;0,14238407
Arthrobacter_Micrococcaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aureimonas_Aurantimonadaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azoarcus_Rhodocyclaceae_Rhodocyclales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillus_Bacillaceae_Bacillales_Bacilli_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacteriovorax_Bacteriovoracaceae_Bdellovibrionales_Deltaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0,004519856;0;0;0;0;0;0;0;0;0;0;0;0;0
BAL58-marine-group_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,055264549;0,048214692;0,118487541;0,041817821;0,043402778;0,0575871;0,021989918;0,039077765;0,04057187;0,032542961;0,027337018;0,033371804;0,024695793;0,015609701;0,021400838;0,034861209;0;0,027039304;0,025472144;0,016389604;0,015350503;0,016226638;0,011865339
Balneola_Unknown-Family_Order-III_Cytophagia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bartonella_Bartonellaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,006007016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bauldia_Rhizobiales-Incertae-Sedis_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BD1-7-clade_Spongiibacteraceae_Cellvibrionales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blastomonas_Sphingomonadaceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria;0,9259515;9,2496035;11,9017512;4,6984259;9,5417812;9,265873;4,4308332;9,0293988;9,5709261;4,3729035;10,1271887;14,2889404;9,0210199;16,9401913;18,7146121;11,9034051;17,6901959;20,2304492;7,5957928;23,0486518;31,8204168;8,9563848;21,1709906
Blastopirellula_Planctomycetaceae_Planctomycetales_Planctomycetacia_Planctomycetes;0;0;0,006969855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bosea_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,004805613;0,010006823;0;0,010454455;0;0;0;0;0;0;0,00594283;0,012514426;0,007857752;0;0;0,008092781;0;0;0;0,003512058;0;0;0,005393336
Boseongicola_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0,01122536;0;0;0,007470259;0;0;0;0,047998127;0;0;0
Bradyrhizobium_Bradyrhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0,004548556;0;0;0;0;0;0;0;0;0;0,006952459;0;0;0;0,013695475;0;0,023794588;0,01637495;0,022243034;0,013644892;0,020044671;0,025888013
Brevundimonas_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0,61932337;0,463042984;0,18586281;0,377405831;0,324900794;0,34696228;0,343381035;0,325127003;0,423106646;0,533342976;0,362512629;0,468595742;0,73862871;0,420042856;0,443303066;1,360832187;0,62946762;0,44777088;0,640442488;0,978693514;0,469043152;0,882920031;0,588952291
Brucella_Brucellaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkholderia_Burkholderiaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caenimonas_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidatus-Aquiluna_Microbacteriaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0;0;0;0;0;0;0,011591963;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Caulobacter_Caulobacteraceae_Caulobacterales_Alphaproteobacteria_Proteobacteria;0,003003508;0;0;0,007318119;0;0;0;0;0;0;0,00594283;0;0;0;0;0,006225216;0;0;0,009097194;0,008194802;0,013644892;0;0
CB31G03_Microbacteriaceae_Micrococcales_Actinobacteria_Actinobacteria;0;0;0,005808213;0;0;0;0;0;0;0;0;0;0;0;0;0,004980173;0;0;0;0;0;0;0
Celeribacter_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0,158585228;0,284739595;0,322936632;0,231043459;0,285218254;0,26058163;0,282485876;0,220398593;0,226043277;0,341701093;0,139062221;0,255850494;0,161645189;0,143325434;0,122290501;0,186133954;0,192040969;0,144930671;0,100069139;0,129946148;0,102336688;0,162266384;0,106788053
Chelativorans_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chlorochromatium_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Christensenellaceae-R-7-group_Christensenellaceae_Clostridiales_Clostridia_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Citreicella_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0,00360421;0;0;0,008363564;0;0,007198388;0;0,014067995;0;0,004519856;0,008319962;0;0;0;0;0,00373513;0;0;0;0,006438773;0;0;0
Cloacibacterium_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
